,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
59,0.4439423084259033,0.03534647153207955,0.004060029983520508,0.0006256223087214833,0.1,0.1,6,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9388069695847073,0.9128505905410281,0.9378616306615704,0.9288105129318278,0.8943684339988687,0.9225396275436004,0.016889095795534343,1,-4.021975098963908,-4.803536976079631,-4.266871637960353,-4.341916897335865,-5.660962114829361,-4.6190525450338225,0.5791281537047305,1
58,0.3042716979980469,0.018985910129451358,0.00879526138305664,0.010994491970139452,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9392035972554682,0.9115381114876328,0.9380730045150584,0.9285378493538943,0.8935570055990607,0.9221819136422228,0.01740883847770774,2,-4.0089195278153404,-4.83957268771159,-4.259608223970736,-4.350223960713903,-5.682663382429043,-4.628197556528123,0.5921503722817565,2
23,0.30601115226745607,0.008376690678715592,0.003398609161376953,1.8376118750915864e-05,0.01,0.1,6,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9375491719229848,0.9129250219643184,0.9377176878023528,0.9280066700370533,0.8940606535244657,0.9220518410502351,0.016660440646227865,3,-4.063099873079381,-4.801485267018721,-4.271810860157244,-4.366361670654502,-5.669203336417411,-4.6343922014654515,0.5706898801557616,3
22,0.20904955863952637,0.01422502065429828,0.005190849304199219,0.0033668880061715352,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9377073774069362,0.9105964264467861,0.9372982731879357,0.9273580791798063,0.8935241673841816,0.921296864721129,0.017017111487437685,4,-4.057950123114261,-4.865263349790448,-4.286170103222844,-4.385985936333964,-5.683539880370894,-4.655781878566482,0.5774035884550853,4
26,0.5912088394165039,0.02880823630246881,0.0036497116088867188,7.474945284309435e-05,0.01,0.1,9,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.9350062280104818,0.9260545463212846,0.9273655204144626,0.9170847313190928,0.8961993722725972,0.9203420796675837,0.013345252942079739,5,-4.144997454768314,-4.424708378625229,-4.6131870747283035,-4.685876424723011,-5.61168621961931,-4.696091110492833,0.4944986607349886,5
25,0.44188919067382815,0.011308447418154413,0.003507041931152344,3.919357793433097e-06,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9350339793103036,0.9259736585795693,0.927383485645292,0.9171109405287098,0.8961501940972261,0.9203304516322202,0.013362895687870871,6,-4.144112436518711,-4.427127775813647,-4.612616532360484,-4.6851357720896925,-5.613015401415125,-4.696401583639532,0.49494634656159514,6
24,0.23184866905212403,0.014833433619642233,0.0033573627471923826,9.591842268951381e-05,0.01,0.1,9,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9344310110099082,0.9241444263078759,0.9276949481269048,0.9172307914633968,0.895581711054248,0.9198165775924668,0.013329633955400015,7,-4.163299368473729,-4.481492381238612,-4.602713820673971,-4.681747381454378,-5.6283575059886015,-4.711522091565858,0.4912788967713176,7
61,0.6470654964447021,0.04445003082358432,0.009334754943847657,0.011141535267920511,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9337237977798458,0.926423291926428,0.9273669633938159,0.9165817018483711,0.894428423376874,0.9197048356650669,0.013776996317360261,8,-4.18569138419977,-4.413662189511533,-4.613141250990039,-4.700069044008202,-5.659354423880164,-4.714383658517941,0.5046530696438825,8
62,1.0057079792022705,0.12418503692694927,0.004006624221801758,0.0010891698993470349,0.1,0.1,9,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.9337238050857758,0.9264232792298062,0.9273669631286452,0.916581697391092,0.8944284233270671,0.9197048336324771,0.01377699675675664,9,-4.18569115349578,-4.413662570329042,-4.613141259410931,-4.700069169577288,-5.659354425215158,-4.714383715605639,0.5046530720467295,9
60,0.40952229499816895,0.021748530926394852,0.003649616241455078,0.00028535310086123903,0.1,0.1,9,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9339720361824961,0.9257328948624761,0.9275770062170351,0.9162539616482004,0.8942505006495954,0.9195572799119607,0.013867836287972578,10,-4.1778452487995015,-4.434321339937436,-4.606466197952105,-4.709292988612774,-5.664121350320858,-4.718409425124535,0.5059448803682516,10
